상호명,주소,카테고리_대,카테고리_소,위도,경도
우리마트,서울특별시 양천구 남부순환로40가길 13 13,생활/편의,슈퍼마켓,37.5336487609926,126.825616754821
티엘라기구필라테스,서울특별시 노원구 한글비석로15길 11 11,운동 시설,요가/필라테스 학원,37.6576403980992,127.074366023336
아트만,서울특별시 마포구 독막로 153 153 외,운동 시설,요가/필라테스 학원,37.5477224864487,126.930382939584
크린토피아성산,서울특별시 마포구 성암로11길 20 20,생활/편의,세탁소,37.5733718283594,126.902115558926
워시피플셀프빨래방금천,서울특별시 금천구 독산로77길 40 40,생활/편의,셀프 빨래방,37.4703047316784,126.900407482987
로얄골프피팅,서울특별시 강남구 영동대로50길 10 10,운동 시설,골프 연습장,37.4985635477195,127.070035056381
에이틴에이치,서울특별시 강남구 삼성로100길 23-24 23,운동 시설,골프 연습장,37.510824138185,127.057186365899
위너짐,서울특별시 양천구 신정로 292 292 신기초등학교,운동 시설,수영장,37.5113066416347,126.854216843542
한중이스포츠문화교류협회,서울특별시 구로구 디지털로27길 36 36 이스페이스,운동 시설,요가/필라테스 학원,37.4837409094309,126.892554242223
서울크리스탈의원,서울특별시 서초구 서초중앙로 147 147 서초법조타운,의료,내과/소아과 의원,37.4948714383138,127.013060958009
우이볼링장,서울특별시 강북구 삼양로 424 424 정암빌딩,운동 시설,볼링장,37.6414268787951,127.01712018341
신앙촌상회,서울특별시 강서구 화곡로 258 258,생활/편의,슈퍼마켓,37.547832411777,126.846473372509
강남센트럴한의원,서울특별시 서초구 신반포로 205 205 포쇼핑타운,의료,한의원,37.507026554446,127.006458022575
가로판매대,서울특별시 영등포구 도림로31길 2 2,생활/편의,슈퍼마켓,37.4925287482963,126.895922696327
지에스25봉천래인점,서울특별시 관악구 은천로35나길 2 2,생활/편의,편의점,37.486943319684,126.953924002202
이너멜필라테스,서울특별시 관악구 신사로 104 104,운동 시설,요가/필라테스 학원,37.4871191921886,126.913953585123
의식주컴퍼니,서울특별시 강서구 양천로60길 40 40,생활/편의,세탁소,37.5572624056827,126.858122473697
U.N.D퍼스널트레이닝센터,서울특별시 강남구 도산대로 447 447,운동 시설,헬스장,37.5242453274186,127.045058167748
보카정식자재,서울특별시 금천구 남부순환로128길 41-6 41,생활/편의,슈퍼마켓,37.478672515951,126.908333010723
고향식품,서울특별시 중구 퇴계로85길 13 13,생활/편의,반찬/식료품 소매업,37.566401048188,127.01953658159
